Year,Conditional DETR,DAB-DETR,DETR,Deformable DETR
1955,0,0,1,0
1995,1,0,0,0
2002,0,0,1,0
2003,0,0,0,2
2004,1,1,0,2
2006,1,0,0,3
2007,0,0,0,1
2009,0,0,0,2
2010,3,0,1,0
2011,5,1,0,0
2014,1,3,4,2
2015,2,5,6,2
2016,8,5,5,2
2017,4,3,13,4
2018,6,2,5,2
2019,14,5,24,13
2020,20,7,4,18
2021,4,18,0,0
